bin_start_sec,total_work_core_seconds
600,2069676.0704040527
900,2067230.8899879456
1200,2056231.5656661987
1500,2206154.31804657
1800,2298047.8114128113
2100,2257432.5439453125
2400,2170480.7250022888
2700,2013140.5197143555
3000,1636447.4701881409
3300,1276252.8831481934
3600,986048.91700744629
3900,1000561.5348815918
4200,992287.328338623
4500,1036505.1469802856
4800,915316.82710647583
5100,1003256.848526001
5400,945842.66109466553
5700,1011311.0647201538
6000,1242462.3727798462
6300,1318421.7384338379
6600,1288854.2404174805
6900,1462540.0440216064
7200,1344379.9180984497
7500,1308238.5752677917
7800,1333271.0446357727
8100,1373453.0356407166
8400,1297903.7183761597
8700,1268136.6654396057
9000,1165496.0291862488
9300,2246049.8351097107
9600,1440690.6206130981
9900,1380949.7703552246
10200,1319931.3869476318
10500,1243599.6379852295
10800,1473678.2649993896
11100,1474486.9623184204
11400,1481464.3755912781
11700,1446031.0237884521
12000,1278260.6183052063
12300,1347543.7711715698
12600,1330896.0565567017
12900,1280563.2067680359
13200,1304874.5369911194
13500,1367215.1321411133
13800,1390637.4698638916
14100,1411840.2917861938
14400,1402315.5175209045
14700,1382332.0947647095
15000,1279483.6913108826
15300,1349816.0353660583
15600,1528064.8452758789
15900,1501665.3734207153
16200,1391896.0593223572
16500,1409488.0926132202
16800,1364386.9202613831
17100,1390571.0947036743
17400,1406780.5232048035
17700,1523388.7956619263
18000,1706325.598526001
18300,1810333.8638305664
18600,1850043.7780380249
18900,1758396.3998794556
19200,1546160.0546836853
19500,1604804.457950592
19800,1580916.5891647339
20100,1395170.2434539795
20400,1425877.89144516
20700,1586097.8304862976
21000,1827259.9345207214
21300,1743608.605670929
21600,1631732.1261405945
21900,1651658.5241317749
22200,1531780.8311462402
22500,1476074.4841575623
22800,1513813.7506484985
23100,1359251.9565582275
23400,1410987.77217865
23700,1457839.0751838684
24000,1470013.4728431702
24300,1377285.816192627
24600,1373579.421043396
24900,1392356.3581466675
25200,1365340.4222488403
25500,1447899.4992256165
25800,1443343.5742378235
26100,1376420.5661773682
26400,1159699.2608070374
26700,1075820.033454895
27000,1123448.6177444458
27300,1170512.6420974731
27600,1189329.6255111694
27900,1191140.6799316406
28200,1283805.5960655212
28500,1275849.7595787048
28800,1347802.8307914734
29100,1388135.2169036865
29400,1235252.0908355713
29700,1299080.6336402893
30000,1315972.8309631348
30300,1176370.9679603577
30600,1253998.3371734619
30900,1316235.71434021
31200,1314640.6150817871
31500,1408847.5087165833
31800,1316034.407043457
32100,1219493.6222076416
32400,1255334.1218948364
32700,1284357.4407577515
33000,1281800.6080627441
33300,1218682.123374939
33600,1354833.3735466003
33900,1224591.4595603943
34200,1297259.1742515564
34500,1376115.0218009949
34800,1420044.0450668335
35100,1318507.706451416
35400,1430544.1609382629
35700,1361486.9318962097
36000,1272080.8444976807
36300,1154175.5390167236
36600,1177101.7659187317
36900,1234731.5566062927
37200,1361723.2595443726
37500,1385421.1329460144
37800,1415067.6790237427
38100,1345883.2125663757
38400,1427859.1581344604
38700,1412396.4034080505
39000,1386120.1457977295
39300,1356129.6858787537
39600,1380992.0820236206
39900,1282408.7682724
40200,1372705.4217338562
40500,1435862.2000694275
40800,1404943.3622360229
41100,1319020.8415031433
41400,1359736.7872238159
41700,1362134.0741157532
42000,1223964.3736839294
42300,1276219.4735527039
42600,1410955.4017066956
42900,1283147.3430633545
43200,1335656.6588401794
43500,1458797.6351737976
43800,1515295.126247406
44100,1422509.4391822815
44400,1198205.7775497437
44700,1193876.9651412964
45000,1123973.7570762634
45300,1256483.0698013306
45600,1390086.298084259
45900,1325366.7657852173
46200,1281724.8747825623
46500,1239941.6564941406
46800,1217558.2014083862
47100,1242323.6500740051
47400,1078399.5071411133
47700,1126569.063949585
48000,1125816.828918457
48300,1176104.532623291
48600,1209905.0937652588
48900,1194653.3952713013
49200,1210933.7262153625
49500,1295960.5925559998
49800,1359636.5881919861
50100,1323352.4265289307
50400,1347069.0341949463
50700,1298817.9705619812
51000,1241865.8429145813
51300,1245953.0015945435
51600,1291897.7422714233
51900,1447541.8745040894
52200,1498302.3691177368
52500,1489833.3191871643
52800,1441000.2073287964
53100,1450875.7670402527
53400,1385936.9396209717
53700,1213897.7291107178
