Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
BcGvAPhri6ChpQJuf5gZ+xSRxwXTWv9gKfGwzjn03py7odd2Cim0HDku5EbUTdky,6d+esuBiACJzBB/dKHQ1kYE9wF0fduUZz1dpdwHn3GDNUZqZMEzy5fbfsuGpwjqe,D0Q3SRMPsuSATtHOsHuC2DGKmthVGj7KXsMOrITbF0uQ59HnwWlaoJzwqzy2Z4lqhYPt9Xw90VKpD/+TGYtT1g==,0,2591400,73.87135430683,2.14896180186566,25.4091243721884,Interactive,4,32
uecaHMPxGN/YOZK3qZrPbymbkoSdkyn6YyMkBq22Zr1iNJE/IbyDjSwvDZ+6K6mA,6fO8KSsYhib3pnGGKACA4Wf7TJrGgLrMBXSiXEF2v2dRb1rXW8lY4kq/WeAjsa66,WzLzsVhcdKxRzimSdPq/GDNsxmbVa3CASG9hKjGYzgl1OilaeBGqP6jsJb1vS6bK9roDV03C0Rf6ESmcoEevzQ==,0,2591400,97.6476392992324,13.8133145798832,76.4419305258589,Interactive,4,8
5mKO3YQPyul0qIOxc/iGcZRg8x8ujnje5uPuEglWfG3cppPX9XsHHa71LKdaHyd9,1WfZjuwNwiIBI7l8YNvl9aumxYJ4k6w77mp9HAXnlMZ7ggEKCu27VVX0j8u8sN1U,K8lAQjGTDJ2gvxuTHVAgUCBO2avCPOjvACbJDpl+XGEeuXgAJUoPPUV6inyMAD0gPlgt+4Z0HqwEXF8NleXF/w==,0,2591400,98.3422093518435,23.0360252523625,97.654115185567,Interactive,4,32
hTay3BeHzGEYgMmtPJTdtxPJJhHOU7wiVI2Ho0EjrMbm/P6VqOhKPyvhFZMWtDYZ,/GGUmM7tz2iqqu1KcEK2U9AbQ28tjsrkYol8jxJ/n3R/Awq+Pux4UQ2MBBcD8/o2,fc/BszGrXpc1PS9L+DhNlwkBb2nmOmNU3FaEdP3zogwXzwoTZoXYwRsJVWuNGq8G7XuG3NDermFCSv2f+FqbzQ==,0,2591400,83.0930725902042,19.0668625680363,58.5921956578629,Interactive,4,32
GP5c7ZOLxV+OtEtCE4J5WgSX6anqrPjASO1l7+8G+M+EqQ42SNeOzDf7hzw2s4ri,I/4IrPaAs4kEaXMGLWN4rq9RX93IzHVUmCM3SlulFixHoQMYYj4c5lHcg6cxIAaX,LqckI72WxAovK33AOdeA8yeLjcLhC9LLyE2RWr81oiol1/518ln/7LRYHTQfMN2iJoMR2Q0ixQO4JfHH6bDv2Q==,0,2591400,97.1924635730526,2.94136671939205,33.2802356164645,Interactive,4,32
vpPTNPpeGwd6nyoD9M3gkmouQ1yHNx6A3BASDB2mCeei01qk4yuapP/6znuM458z,Ib6Kt9IB/8tNwjmITuTI3OS8brvUY4+koG0zdFA7uaIPhne5Es8QoZsRZ+vjwJLg,H5izxYdjZrZ9SyGTGdtpi3oScFOZdE+TFEVf2wdiHWULiKLriNmK5oxTEcxv1NmoaUcsNLs4WNOOCSzC93zDXw==,0,2591400,84.3472412027751,8.83807639868727,17.6105794965459,Interactive,4,8
yvAk5B17sC93KbttCd3MRB9l7UqPyJA5OZIL9Kg30JK5Ia5jO1+H8615wEVI1YY4,wK3HZ7Sda+ljDTUaYpmiqDJfaE5ezwXiSUMRL3WMvS7Q6gBl58nTAVnTX7uB4kbu,UVr0gbS9in1ooMlsuuiSyLrdbUC/QsvwzEmtsXb6txFE8CQfaMKvuI/6JKuWCOvm24nQcXCMR+JCditoVbqixQ==,0,2591400,98.7849677005854,24.7051108991558,98.0098051095348,Interactive,4,32
+WwpVAANQ4t1On6hcH0R3N8zoVyNu16LL0SGccQ6QqJDEK61FHIEREeBI7RIVAkn,/uxfjueFU6humrGANqwceD7xk0au3sDkYgF8xMaKK1qPbvdbpl/XXojUdpGIZYrn,Kp9nDaOgPgAZptj2dW5MtNFLSYV72fZh3GZmwIvQ28JPizCPRmcYCy2PsfjfnfcMBBEjTIy0GhKibvNrLWrlyQ==,0,2591400,89.5427052361505,2.24564591973176,10.4780806640765,Interactive,4,8
z56gCpHhw+kFPHhekl9q6o6XyG8zIxaINT+lsKIyjQSMHMU72Of/w7ieHknbBltK,fNNOAaCPPDQmlvfvD8At3KP9qPSVHV2JAWz8bl952uHRA8QJ+537Sr6oxU3DIKJ0,r0ccvjnoEZ5XG4mMPiD19RKnzYHwd1d9H4eSVgelBKeU9I+zBuLAEXnZRKwKMbH/oGZZHd8J+b/+U2PCOc5IAg==,0,2591400,96.7159176550225,51.8413863591639,77.1536079462218,Interactive,4,8
UcQdfNSvfMnF7wW0gqnWD8ysXc1uNL9BzDdND04iQOZmQhVKU2f9dEluK4BzXEUQ,T5YgbHHsKY6pX+pei3XcWWpIvtVWWkZQFnMYy4VtXV0riRPLqyMGsxwWqrRQ/tju,/M/NNfrx6jUC97ev+QgMyH6DyFdCcAerLZg+z/Bhenbedn/s9FJ/xvkb4Sa/p1l7RlECSyyRwRUIXOcnMfyY7Q==,0,2591400,39.5493706610347,0.914329683069631,11.9513171128292,Interactive,4,8
+mX4ykPXRxXEqxND6AWt3rnoKecJElFoIFV9cWkVlEBcoQ0RTr7aHjF9trrJNcB7,1li8aQymtDD/U3gb/1rQ7XB+j1wvOvYPpNqN47VfWuMzOsLE3UTkIh4Dg0zpQo32,yzJH8WvTR0Ga+SoYr8jwP/sD4IQIn0kRrjFVPkBsaJwy/FKu4X309uh2aAegkSjgVpPms/E++bq9fhhVjlg3pQ==,0,2591400,85.18965727026,6.39141945704727,18.8606615337815,Interactive,4,8
