disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
2ce04e63-f1fb-435a-94f8-01bc317d1527,100,1,0,1,16,32
6f9a0585-c563-4dd9-bbb2-6d662513bb6f,50,1,0,1,8,64
7b5ac82b-c6e2-4900-90c8-f8f1c99e370b,100,1,0,1,32,64
29a660fd-4335-4d73-8e06-583a4b9caa85,100,1,0,1,32,64
e4caf0b8-27cf-4202-83ad-5472fdac47b4,100,1,0,1,32,64
d518c10e-3c0e-414d-8945-c79b660476ac,100,1,0,1,32,64
7624cc15-a060-4f54-8b32-089d67857a0d,100,1,0,1,32,64
0bfaa408-2b58-4c91-b651-28791e496dfc,100,1,0,1,32,64
d2454777-b571-4e5a-97f3-ec74032b43f9,100,1,0,1,32,64
1c475634-3dfa-4f3e-9d6c-0f747cd01a01,100,1,0,1,32,64
e5154d04-6c86-47cc-87a0-446f1208bcdb,100,1,0,1,32,64
346fe0dc-3f23-4c54-b988-9a680f8b6ed0,100,1,0,1,32,64
7ee0bc3a-6c99-4da8-9e39-ec99d54703cb,100,1,0,1,2,4
2498a829-f784-4bf3-9014-717d218398e4,40,1,0,0,2,4
3991af19-d638-429c-b583-8acf1e8d011e,100,1,0,1,16,32
8cf83797-f949-4d64-999a-c1e96eacf622,100,1,0,1,16,32
86b3573a-22af-47e6-925c-d6abb4fcf9e5,50,1,0,0,4,8
d4755451-b8e6-45a5-9ed3-3394676fbabc,100,1,0,0,2,8
910a4ec6-a26c-48b4-b497-502c161ccc02,100,1,0,0,4,8
d6a0c06a-bf17-4732-8993-eca8aceac0b4,50,1,0,1,8,64
adba2657-6541-4eff-91bd-e2b08787f7f9,100,1,0,0,2,8
a741a3c1-43b1-4be4-8e39-ca595b740469,100,1,0,1,4,8
0f1e86e9-59e1-4291-870b-596c4b7b7113,20,1,0,1,8,16
ed8d220f-31a7-4090-a65d-3310693cc373,100,1,0,1,8,16
0b507a0e-dc88-4f51-afb3-11f0a7e75ee9,200,1,0,1,8,16
bc9a9190-e735-40fa-beef-1dcfe23094cc,50,1,0,1,4,16
c3066c60-fb79-48a9-a4a4-827cfd46f12b,50,1,0,1,8,64
b7a5eff5-38ab-41a6-8795-6e707558a98a,50,1,0,1,8,64
cb25a3dd-45f9-40ba-837e-6629374c74e5,100,1,0,1,16,32
