disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
a2049546-cd8b-49ff-b863-c503baa79429,50,1,1,0,2,4
5a894495-8fe4-4b66-bb8c-274e1415304e,50,1,1,0,1,1
58e2862f-c80b-4553-8ade-434d3c536dcb,50,1,1,1,8,32
2ce04e63-f1fb-435a-94f8-01bc317d1527,100,1,0,1,16,32
cefd6f02-862c-49a1-8789-b873b2fe9944,50,1,1,0,2,4
5e457425-619d-4e8a-965a-1941aaddbac0,50,1,1,0,1,1
d3a0a96e-751b-4e13-863f-80b8df1c56f8,50,1,1,0,1,1
922f92b6-aff9-446b-8954-adf3e94c7c07,50,1,1,0,4,8
c2625e80-7ac3-4c35-96f9-eca9e8d9cf8c,50,1,1,1,2,8
4dae9bee-022a-4f5b-84fc-cc93bd434aa3,50,1,1,0,2,4
28009893-173b-4de9-8c5d-7dcb0fa60af7,50,1,1,0,2,4
4494e42b-cfc6-4954-ab06-0433fdb38352,50,1,1,0,1,1
d7548214-1448-4e66-9b1e-b84cbc939aad,50,1,1,0,1,1
ed3e743d-d9b9-4100-a3bc-586ae6b65db4,80,1,1,1,2,4
31ef4dd8-722b-4b15-8e9e-6de276a3c260,50,1,1,1,1,2
6f9a0585-c563-4dd9-bbb2-6d662513bb6f,50,1,0,1,8,64
31a77ef5-355b-4cb1-9408-fec9f5f55fd9,50,1,1,1,4,8
a8a93d69-b8af-493b-abae-f0493617c4b0,50,1,1,0,2,4
047cc4b5-40c7-46f1-ac7d-251724d52b00,50,1,1,0,1,1
7b5ac82b-c6e2-4900-90c8-f8f1c99e370b,100,1,0,1,32,64
29a660fd-4335-4d73-8e06-583a4b9caa85,100,1,0,1,32,64
e4caf0b8-27cf-4202-83ad-5472fdac47b4,100,1,0,1,32,64
d518c10e-3c0e-414d-8945-c79b660476ac,100,1,0,1,32,64
7624cc15-a060-4f54-8b32-089d67857a0d,100,1,0,1,32,64
0bfaa408-2b58-4c91-b651-28791e496dfc,100,1,0,1,32,64
d2454777-b571-4e5a-97f3-ec74032b43f9,100,1,0,1,32,64
1c475634-3dfa-4f3e-9d6c-0f747cd01a01,100,1,0,1,32,64
e5154d04-6c86-47cc-87a0-446f1208bcdb,100,1,0,1,32,64
346fe0dc-3f23-4c54-b988-9a680f8b6ed0,100,1,0,1,32,64
03331c8d-49c6-4bb0-b330-eb5698682570,50,1,1,0,2,4
7ccc512b-5486-44df-8384-434be72d6ded,50,1,1,1,4,8
540061f9-3ae7-4cd9-9ba7-0a1011271bc6,50,1,1,0,1,1
7ee0bc3a-6c99-4da8-9e39-ec99d54703cb,100,1,0,1,2,4
2498a829-f784-4bf3-9014-717d218398e4,40,1,0,0,2,4
3991af19-d638-429c-b583-8acf1e8d011e,100,1,0,1,16,32
